timestamp,value_kwh
2025-12-01T00:15:00+01:00,8.24128
2025-12-01T00:30:00+01:00,10.016137
2025-12-01T00:45:00+01:00,8.628343
2025-12-01T01:00:00+01:00,9.801813
2025-12-01T01:15:00+01:00,9.238827
2025-12-01T01:30:00+01:00,8.90944
2025-12-01T01:45:00+01:00,9.19616
2025-12-01T02:00:00+01:00,10.22272
2025-12-01T02:15:00+01:00,5.96736
2025-12-01T02:30:00+01:00,4.653748
2025-12-01T02:45:00+01:00,8.367905
2025-12-01T03:00:00+01:00,10.178987
2025-12-01T03:15:00+01:00,9.8944
2025-12-01T03:30:00+01:00,8.864427
2025-12-01T03:45:00+01:00,9.596587
2025-12-01T04:00:00+01:00,9.49888
2025-12-01T04:15:00+01:00,9.0688
2025-12-01T04:30:00+01:00,8.230187
2025-12-01T04:45:00+01:00,8.399602
2025-12-01T05:00:00+01:00,9.505251
2025-12-01T05:15:00+01:00,9.768107
2025-12-01T05:30:00+01:00,8.81024
2025-12-01T05:45:00+01:00,9.062613
2025-12-01T06:00:00+01:00,7.280427
2025-12-01T06:15:00+01:00,9.854507
2025-12-01T06:30:00+01:00,10.38528
2025-12-01T06:45:00+01:00,10.06912
2025-12-01T07:00:00+01:00,10.032427
2025-12-01T07:15:00+01:00,9.34464
2025-12-01T07:30:00+01:00,10.09024
2025-12-01T07:45:00+01:00,9.42656
2025-12-01T08:00:00+01:00,10.41088
2025-12-01T08:15:00+01:00,10.448427
2025-12-01T08:30:00+01:00,9.893547
2025-12-01T08:45:00+01:00,9.657972
2025-12-01T09:00:00+01:00,9.886775
2025-12-01T09:15:00+01:00,9.984427
2025-12-01T09:30:00+01:00,9.71904
2025-12-01T09:45:00+01:00,9.593813
2025-12-01T10:00:00+01:00,10.085973
2025-12-01T10:15:00+01:00,5.536213
2025-12-01T10:30:00+01:00,5.368747
2025-12-01T10:45:00+01:00,7.791787
2025-12-01T11:00:00+01:00,9.927253
2025-12-01T11:15:00+01:00,8.798507
2025-12-01T11:30:00+01:00,7.88224
2025-12-01T11:45:00+01:00,9.905067
2025-12-01T12:00:00+01:00,9.132587
2025-12-01T12:15:00+01:00,10.471467
2025-12-01T12:30:00+01:00,10.33984
2025-12-01T12:45:00+01:00,10.18816
2025-12-01T13:00:00+01:00,10.379409
2025-12-01T13:15:00+01:00,9.832004
2025-12-01T13:30:00+01:00,9.728
2025-12-01T13:45:00+01:00,10.2976
2025-12-01T14:00:00+01:00,7.4368
2025-12-01T14:15:00+01:00,8.233813
2025-12-01T14:30:00+01:00,10.401067
2025-12-01T14:45:00+01:00,9.302086
2025-12-01T15:00:00+01:00,10.594234
2025-12-01T15:15:00+01:00,10.022827
2025-12-01T15:30:00+01:00,9.70304
2025-12-01T15:45:00+01:00,11.16672
2025-12-01T16:00:00+01:00,10.09024
2025-12-01T16:15:00+01:00,8.283093
2025-12-01T16:30:00+01:00,9.287893
2025-12-01T16:45:00+01:00,10.015434
2025-12-01T17:00:00+01:00,10.157686
2025-12-01T17:15:00+01:00,9.54656
2025-12-01T17:30:00+01:00,10.45504
2025-12-01T17:45:00+01:00,10.85248
2025-12-01T18:00:00+01:00,10.35584
2025-12-01T18:15:00+01:00,10.495092
